rm,Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
15,Chimezie Metu,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Josh Richardson,26:42,8,13,0.615,4,8,0.500,1,1,1.000,2,1,3,2,1,0,0,3,21,22
1,Luka Dončić,25:55,8,18,0.444,0,5,0.000,8,9,0.889,0,9,9,8,1,0,2,0,24,29
2,Tim Hardaway Jr.,22:59,7,14,0.500,4,8,0.500,0,0,,0,5,5,2,2,0,0,2,18,27
3,Dorian Finney-Smith,18:02,2,4,0.500,2,4,0.500,2,2,1.000,0,1,1,1,0,0,0,1,8,25
4,Dwight Powell,17:54,1,1,1.000,0,0,,2,2,1.000,1,3,4,0,1,0,1,2,4,12
6,James Johnson,20:24,1,6,0.167,1,3,0.333,2,2,1.000,2,6,8,3,2,0,0,2,5,25
7,Willie Cauley-Stein,18:01,3,5,0.600,0,1,0.000,3,3,1.000,4,2,6,2,0,1,0,0,9,31
8,Trey Burke,17:30,2,3,0.667,1,2,0.500,0,0,,0,2,2,1,1,0,1,0,5,28
9,Maxi Kleber,17:04,1,2,0.500,1,2,0.500,2,2,1.000,0,5,5,1,0,1,0,2,5,26
10,Jalen Brunson,13:19,4,6,0.667,1,3,0.333,2,2,1.000,0,2,2,3,0,0,0,0,11,20
11,Wes Iwundu,11:34,3,6,0.500,0,2,0.000,0,0,,0,1,1,0,1,0,0,1,6,2
12,Josh Green,11:34,1,3,0.333,0,0,,2,2,1.000,0,2,2,2,0,0,1,0,4,2
13,Boban Marjanović,10:16,2,4,0.500,0,2,0.000,0,2,0.000,2,3,5,0,0,0,1,0,4,4
14,Tyrell Terry,8:46,0,2,0.000,0,1,0.000,0,0,,0,1,1,0,1,0,0,1,0,2
0,Luke Kennard,29:00,3,11,0.273,1,6,0.167,0,0,,0,2,2,1,1,0,2,2,7,-29
1,Paul George,24:09,4,13,0.308,0,6,0.000,7,8,0.875,0,2,2,4,0,0,4,1,15,-22
2,Patrick Beverley,21:55,0,2,0.000,0,2,0.000,2,2,1.000,0,2,2,0,0,0,1,4,2,-23
3,Nicolas Batum,21:30,2,4,0.500,0,1,0.000,0,0,,1,5,6,1,0,0,1,2,4,-17
4,Serge Ibaka,19:32,6,11,0.545,0,4,0.000,1,2,0.500,1,8,9,1,0,1,0,2,13,-14
6,Terance Mann,23:51,2,8,0.250,0,2,0.000,0,0,,0,3,3,2,0,0,1,2,4,-29
7,Reggie Jackson,20:54,3,6,0.500,2,5,0.400,0,0,,0,3,3,1,0,0,2,0,8,-21
8,Amir Coffey,17:39,0,5,0.000,0,2,0.000,1,2,0.500,1,0,1,2,0,0,0,1,1,-8
9,Ivica Zubac,16:28,3,4,0.750,0,0,,4,4,1.000,1,1,2,0,0,0,0,1,10,-33
10,Mfiondu Kabengele,15:11,1,3,0.333,1,3,0.333,2,2,1.000,0,2,2,0,1,0,0,2,5,-5
11,Daniel Oturu,12:00,2,4,0.500,0,1,0.000,0,0,,0,2,2,0,0,1,1,2,4,-4
12,Lou Williams,9:00,0,4,0.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-24
13,Patrick Patterson,8:51,0,1,0.000,0,1,0.000,0,0,,0,1,1,0,0,0,0,0,0,-26
14,Kawhi Leonard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
